codice,descrizione,scaffale
629723-7,motore,T09
629724-5,motore,P05
629729-5,motore x 6343,T04
629733-4,motore,T09
629734-2,motore,T07
629757-0,motore,T06
629762-7,motore,L10
629763-5,motore x 6914,E10
629767-7,motorino,L11
629778-2,motore,T06
629779-0,motorino x 6017,B01
629781-3,motore,T08
629785-5,motore,T08
629787-1,motore,T07
629789-7,motore,T08
629801-3,motore 7.2V,E03
629815-2,motore,L10
629817-8,motore,L10
629819-4,motore,L10
629821-7,motore,L10
629823-3,motore,Q15
629827-5,indotto,Z03
629829-1,indotto,Z03
629851-8,motore,Z09
629853-4,motore,Z08
629877-0,motore UM164,T16
629900-1,motore,P15
629922-1,statore,T16
629937-8,motore,Q14
629962-9,motore,K06
629964-5,motore,K02
631084-3,circuito stampato,C09
631087-7,circuito stampato,G02
631093-2,circuito stampato x DC1700,F09
631109-3,circuito stamapto x DC9100,E02
631158-0,circuito x DC9700,M01
631227-7,scheda,Y08
631231-6,scheda,O05
631233-2,circuito x DC1201,T02
631235-8,scheda,V08
631248-9,circuito x DC1700,S01
631257-8,scheda,P09
631264-1,circuito x DC9701,R03
631399-8,scheda,U01
631443-1,scheda,T05
631566-5,scheda,U05
631733-2,circuito,Y04
631766-7,scheda x 4305F,R14
631806-1,circuito,Q11
631813-4,circuito luce,X09
631920-3,scheda,V10
632282-2,innesto statore,M09
632503-2,supporto statore,O04
632524-4,terminale,V04
632524-4,terminale,V04
632679-5,supporto,P12
632699-9,supporto,Q13
632828-4,statore,Y03
632945-0,blocco interruttore,K03
632964-6,statore,Y04
632965-3,statore x 6918,R15
632969-6,porta spazzole,R13
632A23-2,interruttore,Y07
632D63-8,statore,K02
632J71-5,indotto,E07
635511-1,statore,V11
638138-7,motore,T07
638139-5,porta spazzole,R08
638156-5,porta spazzole,Q14
638236-7,unità supporto carboncini,N13
638237-5,porta spazzole,Q12
638288-8,interruttore,L14
638294-3,cavetto cablaggio,Q15
638326-6,interruttore,L13
638375-3,supporto spazzole,N15
638387-6,supporto spazzole,N14
638396-5,statore,Q14
638413-1,supporto,N13
638423-8,statore,Z09
638424-6,porta spazzole,N14
638425-4,statore,X07
638445-8,porta spazzole,Z06
638461-0,statore,Z08
638494-5,portaspazzole,Q12
638495-3,statore x BTW251,R11
638499-5,ventola,X02
638500-6,porta spazzole,Z07
638504-8,porta spazzole,P15
638511-1,statore,R12
638511-1,statore,T12
638605-2,interruttore,V11
638635-3,blocco interruttore,K04
638657-3,terminale batteria,R13
638661-2,porta spazzole,Z06
638845-2,porta spazzole,K05
638849-4,porta spazzole,T10
638853-3,porta spazzole,Y09
638857-5,porta spazzole,T11
638884-2,interruttore,K04
638887-6,interruttore,K03
638895-7,supporto spazzole,K11
638921-2,porta spazzole,R12
638947-4,supporto interruttore,Y09
641107-7,circuito stampato x DC1700,H06
643550-8,tappo spazzole,C10
643550-8,tappo,Y06
643551-6,porta spazzole,H02
643552-4,porta spazzole,H02
643563-9,porta spazzole,R14
643600-9,tappo,Y07
643603-3,porta spazzole,L06
643605-9,porta spazzole,C08
643650-4,tappo,Y05
643653-8,porta spazzole,E03
643657-0,porta spazzole,F04
643707-1,porta spazzole,N06
643710-2,tappo,Y05
643750-0,tappo,Y05
643753-4,tappo,Y06
643760-7,porta spazole,R15
643807-7,tappo,Y03
643829-7,tappo,Y05
643830-2,terminale batteria,P12
643909-9,morsetto batteria,I09
643918-8,morsetto batteria,U03
643923-5,supporto spazzola,P01
643928-5,tappo spazzole,B06
643929-3,tappo,B06
643933-2,tappo,Y06
643941-3,tappo,Y06
643955-2,terminale,F10
643964-1,porta spazzole x BHR200,E10
643995-0,porta spazzole,T15
646658-4,resistenza,Y07
649066-1,trasmormatore,G01
649078-4,trasmormatore x DC9000,H06
649132-4,trasformatore x DC1201,B01
649136-6,trasformatore,L09
649199-2,trasformatore,O06
650102-8,interruttore x 9029,D06
650107-5,interruttore,V16
650107-8,interruttore,P12
650212-1,interruttore,L12
650213-9,interruttore,Y08
650222-8,interruttore,V15
650226-0,interruttore,P13
650230-9,interruttore,T14
650508-0,interruttore,Z02
650514-5,interruttore,B05
650523-4,interruttore,L12
650531-5,interruttore,U06
650543-8,interruttore,U06
650556-9,interruttore,T07
650559-3,interruttore,Z03
650564-0,interruttore,F16
650569-0,interruttore,L14
650573-9,interruttore,Z06
650578-9,interruttore,Z07
650583-6,interruttore,L13
650587-8,indotto,Z07
650588-6,interruttore,Z07
650599-1,interruttore,Z06
650604-4,interruttore,E16
650605-2,interruttore,X05
650619-1,interruttore,Q11
650653-1,interruttore x BHP451,R16
650662-0,interruttore,V10
650663-8,interruttore,X06
650672-7,interruttore,V10
650674-3,interruttore,T14
650682-4,interruttore,V14
650691-3,interruttore,T10
650699-7,interruttore,X08
650709-0,interruttore,E09
650710-5,interruttore,K10
650721-0,interruttore,E08
650722-8,interruttore x BTD146,R16
650724-4,interruttore,Y02
650731-7,interruttore,V14
650747-2,interruttore BDF456,K06
650822-8,interruttore JR3070,R12
651014-8,interruttore,D02
651018-0,interruttore,D05
651026-1,interruttore,D09
651028-7,interruttore,D08
651034-2,interruttore,D07
651038-4,interruttore,D05
651131-4,interruttore,D08
651134-8,interruttore,D02
651142-9,interruttore,D04
651145-3,interruttore,D06
651178-8,interruttore,T03
651179-6,interruttore x GA9030,R10
651193-2,interruttore,Q12
651203-5,interruttore,D01
651204-3,interruttore,D01
651212-4,interruttore,D01
651225-5,interruttore,D05
651232-8,interruttore,D03
651235-2,interruttore,D06
651239-4,interruttore,Q08
651252-2,interruttore x 5016,B08
651256-4,interruttore,D06
651268-7,interruttore,L12
651275-0,interruttore,U03
651282-3,interruttore,V14
651283-1,interruttore,I09
651285-7,interruttore,Z02
651286-5,interruttore,E11
651332-4,interruttore x 9741,T13
651344-7,interruttore x 6901,D03
651354-4,interruttore,D07
651403-7,interruttore,D02
651418-4,interruttore,N02
651419-2,interruttore,U02
651423-1,interruttore,T11
651430-4,interruttore,V12
651433-8,interruttore,T14
651470-2,interruttore,H08
651472-8,interruttore,D09
651478-6,interruttore,N03
651481-7,interruttore,S01
651504-1,interruttore,D01
651514-8,interruttore x N910,D08
651523-7,interruttore,U09
651557-0,interruttore,N03
651558-8,interruttore,D09
651572-4,interruttore,U06
651600-5,interruttore,D03
651607-1,interruttore,D09
651654-2,interruttore,D02
651709-3,interruttore,A05
651816-2,interruttore,D08
651838-2,interruttore,D08
651852-8,interruttore,Y02
651898-4,invertitore,D02
651905-3,interruttore,A03
651909-5,interruttore,D01
651911-8,interruttore,V08
651912-6,interruttore,D07
651913-4,interruttore,D03
651914-2,interruttore,D04
651919-2,interruttore,N07
651922-3,interruttore,O08
651923-1,interruttore,P13
651926-5,interruttore,A03
651934-6,interruttore,D06
651968-9,interruttore,Z01
651969-7,interruttore,L13
651978-6,interruttore,Z01
651986-7,interruttore,D04
651989-1,interruttore,Z02
651990-6,interruttore x BHR200,P07
651991-4,interruttore,L12
651992-2,interruttore,L14
651993-0,interruttore,Z01
651994-8,interruttore,Z01
651996-4,interruttore,L13
652191-9,interruttore,U05
652519-1,salvamotore,H04
652532-9,salvamatore,G02
654018-9,anello terminale,H05
654019-7,anello terminale,H06
654020-2,anello terminale,H07
654084-6,anello terminale,A04
654137-1,piastra b,B06
654168-0,polo positivo,U09
654169-8,polo negativo,U09
681623-9,rondella isolante,T12
681637-8,rondella isolante,O05
681642-5,anello,S06
681650-6,rondella isolante,Q05
682500-8,passacavo,M09
682502-4,passacavo,P16
682503-2,passacavo,P06
682504-0,passacavo,G08
682505-8,passacavo,M09
682506-6,passacavo,P06
682507-4,passacavo,P06
682559-5,salva cavo,N14
682560-0,passacavo,E15
687001-1,morsetto cavo,H04
687085-9,separatore poli,U04
687113-0,coperchio,K08
743081-8,base x BO5010,V09
763068-4,mandrino x DA3000,L04
763082-0,mandrino x DA3000DW,L07
763174-5,mandrino x DA3010F,F14
763413-3,chiave mandrino,A05
763414-1,chiave mandrino,C08
763432-9,chiave mandrino,H08
763435-3,chiave mandrino,G08
763601-2,bussola pinza,H05
763607-0,pinza 6mm,F15
763615-1,dado x 3608,E13
763618-5,pinza 8mm,M07
763636-3,pinza 6mm,M07
763801-4,riduzione 6mm,M07
763804-8,riduzione 8mm,M07
764415-9,chiave mandrino,G07
80018,invertitore,H08
80028,interruttore,D05
80063,invertitore,H08
80075,interruttore,D07
82013,portaspazzole,H01
900211,resistenza,R02
905850,ritegno,G09
905852,spinotto,G09
905898,rullino,G09
907003,puleggia completa,I06
911106-8,vite,A06
911111-5,vite,N02
911116-5,vite,O08
911123-8,vite,C08
911126-2,vite,C07
911156-3,vite,E02
911201,flangia esterna,C04
911226-8,vite,H04
911266-6,vite,L02
911276-3,vite,E07
911326-4,vite,E02
911341-8,vite,E03
912211-4,vite x 9045N,M08
915116-7,vite,M05
920337,spugna,G06
922222-1,vite,L09
922262-9,vite,Q07
922337-4,vite,H03
922371-4,rondella,H09
922451-6,bullone,L06
922847,ingranaggio,E04
922903-7,vite,Q06
923208004,dado x UC,S05
925216-5,vite,H01
926400,kit martello HM1300,I07
926480,kit martello HM1400,I07
933643,coperchio molla,L03
933644,molla,L02
941101-4,rondella,R10
942101-7,rondella,R16
951051-5,spinotto,T01
957113840,set spazzole,N02
961011-9,anello ritegno,P01
961052-5,anello ritegno,L01
961054-1,anello,V15
961072-9,anello ritegno,L06
965452380,tubo olio,S03
970802420,tappo spazzole,O03
975001160,interruttore x DES,O07
975001190,pulsante x UC,R02
999984,kit coppia conica,O03
999986,kit impugnatura,Q04
999987,kit impugnatura,O07
GM00000010,ghiera,T09
GM00000070,lente,E11
H311203,cinghia,Z02
P-00016,lampadina x ML900,N04
P-00044,interruttore,D03
P-00050,interruttore,D04
P-08414,porta mandrino,M03
P-09101,protezione gomma,M02
P-15970,lampadina,R02
PN1301025,albero flessibile,R13
